caseid,SpendUnemp,TaxUnempCorrect,KnowledgeIndex2,GOP,KnowledgeIndex2GOP,EducGOP,Educ,AgeGOP,Age,MaleGOP,Male,WhiteGOP,White
112,1,3,5,1,5,5,5,52,52,0,0,1,1
113,3,1,8,0,0,0,6,0,50,0,1,0,1
114,3,2,7,0,0,0,6,0,47,0,0,0,1
115,1,2,3,0,0,0,5,0,61,0,1,0,1
116,2,2,2,0,0,0,4,0,59,0,0,0,1
117,3,2,8,0,0,0,5,0,54,0,0,0,1
118,1,2,8,1,8,6,6,60,60,0,0,0,0
119,1,2,9,0,0,0,6,0,61,0,0,0,1
120,2,1,6,1,6,6,6,48,48,0,0,1,1
121,3,2,6,0,0,0,3,0,64,0,0,0,1
122,1,3,7,1,7,5,5,47,47,1,1,1,1
123,3,2,4,0,0,0,5,0,53,0,1,0,1
124,3,1,9,0,0,0,6,0,52,0,1,0,1
125,3,2,9,0,0,0,6,0,61,0,1,0,1
126,1,3,6,1,6,3,3,57,57,1,1,1,1
127,1,2,7,0,0,0,4,0,54,0,1,0,0
128,1,3,9,1,9,3,3,38,38,0,0,0,0
129,1,1,7,1,7,5,5,55,55,0,0,1,1
130,1,3,9,1,9,6,6,61,61,0,0,1,1
131,2,2,5,1,5,3,3,52,52,1,1,1,1
132,1,1,8,0,0,0,3,0,57,0,1,0,1
133,1,3,9,0,0,0,5,0,49,0,1,0,1
134,3,2,7,0,0,0,6,0,42,0,0,0,0
135,3,1,9,0,0,0,6,0,62,0,1,0,1
136,1,3,9,0,0,0,5,0,45,0,0,0,1
137,3,2,2,1,2,5,5,48,48,1,1,0,0
138,2,1,4,0,0,0,6,0,40,0,0,0,0
139,1,2,9,0,0,0,6,0,54,0,1,0,0
140,3,2,9,0,0,0,6,0,48,0,1,0,1
141,3,1,9,0,0,0,6,0,58,0,0,0,1
142,1,3,8,1,8,5,5,60,60,1,1,1,1
143,3,2,6,0,0,0,5,0,43,0,0,0,0
144,2,2,5,0,0,0,5,0,50,0,0,0,1
145,1,2,9,1,9,2,2,75,75,1,1,1,1
146,3,2,9,0,0,0,6,0,60,0,1,0,1
147,1,1,5,0,0,0,6,0,31,0,0,0,1
148,3,1,6,0,0,0,3,0,49,0,1,0,1
149,1,3,6,1,6,3,3,54,54,0,0,1,1
150,3,2,9,0,0,0,5,0,49,0,0,0,1
151,1,3,7,1,7,3,3,48,48,1,1,1,1
152,1,3,8,0,0,0,3,0,48,0,1,0,1
153,1,3,8,1,8,2,2,68,68,1,1,1,1
154,3,2,9,0,0,0,3,0,38,0,1,0,1
155,1,3,9,1,9,5,5,54,54,1,1,1,1
156,2,3,9,1,9,5,5,47,47,0,0,1,1
157,2,3,7,1,7,5,5,49,49,1,1,1,1
158,1,2,6,0,0,0,2,0,52,0,1,0,1
159,1,3,6,1,6,4,4,55,55,1,1,1,1
160,2,2,9,0,0,0,5,0,61,0,1,0,1
161,3,2,8,0,0,0,5,0,48,0,0,0,0
162,3,1,9,0,0,0,4,0,68,0,1,0,0
163,1,3,9,1,9,5,5,57,57,1,1,1,1
164,3,2,9,0,0,0,6,0,59,0,0,0,1
165,1,2,7,0,0,0,4,0,55,0,0,0,0
166,2,2,6,0,0,0,2,0,70,0,1,0,1
167,3,2,8,0,0,0,5,0,56,0,0,0,1
168,1,3,2,,,,2,,41,,0,,0
169,1,3,9,1,9,4,4,55,55,1,1,1,1
170,3,2,6,0,0,0,3,0,55,0,0,0,1
171,3,2,9,0,0,0,5,0,53,0,0,0,1
172,3,2,9,0,0,0,6,0,55,0,1,0,1
173,3,2,8,1,8,2,2,70,70,1,1,1,1
174,1,3,7,0,0,0,4,0,53,0,1,0,1
175,1,3,6,1,6,3,3,53,53,1,1,1,1
176,3,2,8,0,0,0,6,0,52,0,0,0,1
177,1,1,7,1,7,5,5,60,60,0,0,1,1
178,2,2,1,0,0,0,4,0,29,0,0,0,1
179,2,3,9,1,9,5,5,44,44,0,0,1,1
180,2,2,9,0,0,0,5,0,52,0,1,0,1
181,1,3,9,1,9,6,6,28,28,0,0,0,0
182,1,2,7,0,0,0,2,0,70,0,0,0,1
183,1,3,9,1,9,5,5,48,48,1,1,1,1
184,3,2,3,0,0,0,3,0,54,0,1,0,1
185,3,1,9,0,0,0,5,0,43,0,1,0,0
186,1,3,3,0,0,0,5,0,49,0,0,0,0
187,3,1,9,0,0,0,5,0,52,0,1,0,1
188,1,3,9,1,9,6,6,28,28,0,0,0,0
189,3,2,8,0,0,0,5,0,53,0,1,0,0
190,2,3,9,1,9,4,4,40,40,1,1,1,1
191,2,3,8,1,8,3,3,58,58,1,1,1,1
192,3,2,9,0,0,0,5,0,50,0,0,0,1
193,3,2,4,0,0,0,2,0,46,0,0,0,0
194,2,2,6,1,6,3,3,53,53,1,1,1,1
195,2,3,9,1,9,5,5,48,48,1,1,1,1
196,2,2,4,0,0,0,2,0,43,0,0,0,0
197,1,3,4,0,0,0,5,0,49,0,0,0,0
198,1,2,7,0,0,0,3,0,57,0,1,0,1
199,1,3,5,1,5,5,5,46,46,0,0,1,1
200,3,2,7,0,0,0,2,0,40,0,0,0,1
201,1,3,3,1,3,2,2,87,87,1,1,1,1
202,1,3,6,1,6,4,4,53,53,1,1,1,1
203,1,3,9,1,9,5,5,42,42,1,1,1,1
204,3,2,7,0,0,0,4,0,56,0,1,0,1
205,3,2,9,0,0,0,5,0,52,0,0,0,1
206,2,3,9,1,9,3,3,56,56,1,1,1,1
207,2,2,3,0,0,0,5,0,39,0,0,0,0
208,2,3,8,1,8,3,3,62,62,1,1,1,1
209,1,2,8,0,0,0,5,0,57,0,1,0,1
210,1,3,9,1,9,5,5,49,49,1,1,0,0
211,3,2,8,0,0,0,5,0,54,0,0,0,1
212,2,2,8,0,0,0,2,0,57,0,1,0,1
213,2,2,6,1,6,5,5,40,40,1,1,1,1
214,2,1,0,0,0,0,5,0,34,0,0,0,0
215,2,3,8,1,8,4,4,60,60,1,1,1,1
216,1,2,7,1,7,3,3,50,50,1,1,1,1
217,3,2,9,0,0,0,5,0,64,0,1,0,1
218,2,3,9,0,0,0,5,0,57,0,1,0,1
219,2,1,5,0,0,0,4,0,62,0,0,0,1
220,1,3,9,1,9,5,5,52,52,1,1,1,1
221,2,2,8,0,0,0,4,0,50,0,1,0,1
222,1,2,8,1,8,3,3,56,56,1,1,1,1
223,1,2,6,1,6,3,3,47,47,1,1,1,1
224,1,3,1,0,0,0,6,0,34,0,0,0,0
225,3,1,5,0,0,0,5,0,47,0,1,0,1
226,1,2,9,0,0,0,2,0,45,0,1,0,1
227,2,1,9,0,0,0,5,0,52,0,1,0,1
228,1,3,7,1,7,3,3,42,42,1,1,1,1
229,1,,2,0,0,0,4,0,55,0,1,0,0
230,1,2,6,0,0,0,4,0,34,0,1,0,1
231,3,2,9,0,0,0,5,0,55,0,1,0,1
232,1,3,9,0,0,0,5,0,64,0,1,0,1
233,3,1,7,0,0,0,4,0,57,0,1,0,1
234,1,3,9,1,9,3,3,60,60,1,1,0,0
235,1,3,6,0,0,0,3,0,62,0,0,0,1
236,2,2,8,0,0,0,5,0,53,0,0,0,1
237,2,2,7,0,0,0,3,0,54,0,1,0,1
238,1,3,8,1,8,5,5,49,49,1,1,1,1
239,1,3,4,1,4,5,5,48,48,1,1,1,1
240,3,2,5,0,0,0,6,0,48,0,0,0,1
241,1,3,7,1,7,2,2,68,68,1,1,1,1
242,1,3,7,1,7,3,3,57,57,1,1,1,1
243,2,2,5,0,0,0,5,0,50,0,0,0,1
244,1,3,8,1,8,4,4,58,58,0,0,1,1
245,2,3,7,1,7,3,3,58,58,1,1,1,1
246,1,1,8,0,0,0,3,0,57,0,0,0,0
247,3,2,9,0,0,0,3,0,58,0,1,0,1
248,1,3,7,0,0,0,5,0,57,0,0,0,1
249,1,3,8,1,8,3,3,60,60,0,0,1,1
250,2,3,9,1,9,5,5,55,55,1,1,1,1
251,1,1,9,0,0,0,5,0,44,0,1,0,1
252,3,2,9,1,9,5,5,41,41,1,1,1,1
253,2,2,9,0,0,0,5,0,61,0,1,0,1
254,1,3,9,0,0,0,2,0,72,0,1,0,1
255,2,2,7,1,7,5,5,57,57,1,1,1,1
256,1,3,9,0,0,0,4,0,53,0,1,0,0
257,1,3,5,0,0,0,4,0,43,0,0,0,1
258,1,3,6,1,6,5,5,62,62,0,0,1,1
259,1,3,9,0,0,0,5,0,53,0,0,0,1
260,2,2,6,0,0,0,2,0,59,0,1,0,1
261,3,2,3,0,0,0,5,0,31,0,0,0,1
262,1,3,7,0,0,0,5,0,47,0,0,0,1
263,3,2,7,0,0,0,3,0,56,0,0,0,1
264,1,3,6,1,6,4,4,51,51,1,1,1,1
265,1,3,3,0,0,0,3,0,82,0,0,0,1
266,3,1,8,0,0,0,5,0,49,0,0,0,1
267,2,3,8,0,0,0,1,0,61,0,0,0,1
268,3,2,6,0,0,0,6,0,45,0,0,0,1
269,1,3,7,1,7,3,3,54,54,1,1,1,1
270,2,2,9,0,0,0,3,0,61,0,1,0,1
271,1,2,3,1,3,2,2,58,58,1,1,1,1
272,3,2,9,0,0,0,5,0,33,0,0,0,1
273,3,2,7,0,0,0,6,0,47,0,1,0,0
274,1,3,9,1,9,3,3,37,37,1,1,1,1
275,3,1,4,0,0,0,4,0,51,0,1,0,1
276,3,2,3,0,0,0,5,0,53,0,0,0,1
277,3,2,4,0,0,0,3,0,25,0,0,0,1
278,2,2,2,0,0,0,3,0,51,0,1,0,1
279,3,2,8,0,0,0,6,0,63,0,0,0,1
280,2,3,4,1,4,4,4,53,53,1,1,1,1
281,2,2,5,0,0,0,4,0,47,0,1,0,1
282,3,3,9,1,9,4,4,56,56,1,1,1,1
283,2,3,7,1,7,3,3,53,53,1,1,1,1
284,2,3,9,1,9,6,6,57,57,0,0,1,1
285,2,3,8,0,0,0,2,0,70,0,0,0,1
286,1,3,9,1,9,3,3,50,50,1,1,1,1
287,2,3,9,1,9,6,6,59,59,0,0,1,1
288,2,2,9,0,0,0,3,0,48,0,1,0,1
289,3,2,3,0,0,0,6,0,51,0,0,0,0
290,3,1,4,0,0,0,3,0,58,0,1,0,1
291,2,3,6,1,6,5,5,60,60,0,0,1,1
292,2,2,4,0,0,0,2,0,48,0,1,0,1
293,3,2,7,0,0,0,6,0,31,0,0,0,1
294,3,2,7,0,0,0,6,0,36,0,0,0,1
295,3,1,6,0,0,0,6,0,53,0,0,0,1
296,2,2,2,0,0,0,2,0,67,0,0,0,1
297,3,2,9,0,0,0,2,0,43,0,1,0,0
298,2,2,8,0,0,0,6,0,40,0,0,0,1
299,3,2,6,0,0,0,4,0,56,0,0,0,1
300,2,1,6,0,0,0,3,0,54,0,1,0,0
301,3,2,9,0,0,0,6,0,61,0,0,0,1
302,1,3,2,0,0,0,3,0,56,0,0,0,1
303,3,1,8,1,8,4,4,49,49,1,1,1,1
304,2,1,1,1,1,4,4,23,23,0,0,1,1
305,2,3,9,0,0,0,5,0,46,0,0,0,1
306,2,2,3,0,0,0,6,0,54,0,0,0,0
307,3,2,9,0,0,0,5,0,23,0,1,0,1
308,3,1,8,0,0,0,2,0,72,0,1,0,1
309,3,2,9,0,0,0,3,0,23,0,1,0,1
310,1,3,9,1,9,5,5,53,53,0,0,1,1
311,3,2,3,0,0,0,2,0,35,0,0,0,1
312,1,2,7,1,7,5,5,42,42,0,0,1,1
313,1,2,9,1,9,5,5,56,56,0,0,1,1
314,3,1,9,0,0,0,3,0,54,0,1,0,1
315,3,1,8,0,0,0,4,0,52,0,0,0,1
316,1,3,7,1,7,2,2,81,81,1,1,1,1
317,1,2,9,0,0,0,3,0,54,0,1,0,1
318,2,2,0,1,0,2,2,64,64,0,0,1,1
319,1,3,8,1,8,2,2,82,82,1,1,1,1
320,,,8,0,0,0,5,0,44,0,0,0,0
321,2,2,8,0,0,0,2,0,73,0,1,0,1
322,1,1,5,0,0,0,3,0,75,0,0,0,0
323,3,1,1,0,0,0,5,0,33,0,0,0,0
324,3,1,8,0,0,0,3,0,55,0,0,0,0
325,2,2,3,0,0,0,2,0,81,0,1,0,1
326,2,2,4,0,0,0,4,0,66,0,0,0,1
327,1,3,9,1,9,4,4,47,47,1,1,0,0
328,1,3,8,1,8,3,3,53,53,1,1,1,1
329,2,3,5,0,0,0,3,0,55,0,0,0,1
330,3,2,9,0,0,0,4,0,61,0,0,0,1
331,3,2,5,1,5,4,4,28,28,0,0,1,1
332,2,2,5,1,5,3,3,53,53,0,0,1,1
333,3,2,6,0,0,0,3,0,74,0,0,0,1
334,1,3,7,1,7,4,4,59,59,1,1,1,1
335,2,2,7,0,0,0,3,0,46,0,1,0,1
336,3,1,7,0,0,0,4,0,61,0,1,0,1
337,1,1,9,1,9,3,3,57,57,1,1,1,1
338,2,2,4,0,0,0,3,0,49,0,0,0,1
339,3,2,5,0,0,0,3,0,64,0,0,0,1
340,3,2,9,0,0,0,3,0,81,0,0,0,1
341,3,2,4,0,0,0,2,0,49,0,0,0,0
342,3,2,4,0,0,0,3,0,55,0,0,0,1
343,1,3,9,1,9,2,2,56,56,1,1,0,0
344,2,1,5,1,5,3,3,20,20,0,0,1,1
345,3,2,4,0,0,0,3,0,55,0,0,0,1
346,3,3,7,0,0,0,6,0,27,0,1,0,1
347,1,2,5,1,5,3,3,60,60,0,0,1,1
348,2,3,7,1,7,2,2,71,71,1,1,1,1
349,1,3,6,1,6,2,2,64,64,1,1,1,1
350,1,3,8,1,8,2,2,84,84,1,1,1,1
351,3,1,9,0,0,0,2,0,49,0,1,0,1
352,2,3,6,1,6,2,2,78,78,1,1,1,1
353,2,2,5,0,0,0,4,0,58,0,0,0,1
354,1,3,9,1,9,3,3,64,64,0,0,1,1
355,2,2,3,0,0,0,3,0,54,0,0,0,0
356,1,2,7,0,0,0,4,0,57,0,0,0,1
357,2,2,5,0,0,0,3,0,54,0,0,0,1
358,2,2,9,0,0,0,4,0,55,0,0,0,1
359,2,1,3,0,0,0,6,0,26,0,0,0,1
360,2,2,9,0,0,0,3,0,81,0,0,0,1
361,1,2,0,0,0,0,4,0,69,0,1,0,0
362,2,2,2,,,,4,,25,,0,,0
363,1,1,5,0,0,0,3,0,44,0,0,0,1
364,2,3,5,1,5,4,4,48,48,0,0,1,1
365,3,2,3,0,0,0,2,0,53,0,0,0,1
366,2,3,2,1,2,3,3,52,52,0,0,1,1
367,2,1,5,0,0,0,3,0,64,0,0,0,0
368,3,2,9,0,0,0,6,0,27,0,1,0,1
369,1,3,6,1,6,6,6,31,31,0,0,0,0
370,1,3,4,1,4,2,2,69,69,1,1,1,1
371,1,3,6,1,6,4,4,57,57,0,0,1,1
372,1,3,6,0,0,0,2,0,69,0,1,0,1
373,2,3,9,0,0,0,6,0,51,0,1,0,0
374,1,3,9,1,9,4,4,60,60,0,0,1,1
375,2,2,6,0,0,0,4,0,64,0,0,0,0
376,2,2,6,0,0,0,6,0,28,0,0,0,0
377,,2,2,,,,4,,43,,0,,1
378,3,2,6,0,0,0,3,0,75,0,0,0,1
379,1,2,9,1,9,5,5,29,29,1,1,1,1
380,3,1,7,0,0,0,4,0,57,0,0,0,1
381,2,2,2,0,0,0,2,0,44,0,0,0,1
382,1,3,8,1,8,5,5,33,33,0,0,0,0
383,1,2,7,0,0,0,3,0,62,0,0,0,0
384,1,2,1,0,0,0,3,0,60,0,0,0,1
385,1,3,0,0,0,0,2,0,52,0,0,0,0
386,3,1,4,0,0,0,4,0,50,0,0,0,1
387,3,1,4,0,0,0,5,0,52,0,1,0,0
388,3,2,6,0,0,0,2,0,47,0,1,0,1
389,2,1,6,0,0,0,3,0,64,0,0,0,1
390,1,2,9,1,9,4,4,48,48,0,0,1,1
391,3,1,2,1,2,2,2,47,47,0,0,1,1
392,2,2,3,1,3,5,5,24,24,0,0,1,1
393,2,2,9,0,0,0,3,0,53,0,1,0,0
394,3,1,7,0,0,0,5,0,53,0,1,0,0
395,1,3,5,0,0,0,3,0,32,0,0,0,0
396,2,3,5,1,5,3,3,51,51,0,0,1,1
397,1,3,6,1,6,2,2,39,39,0,0,1,1
398,3,2,9,0,0,0,2,0,57,0,1,0,1
399,3,1,9,0,0,0,4,0,61,0,0,0,1
400,1,1,5,1,5,2,2,81,81,1,1,1,1
401,1,2,5,0,0,0,3,0,63,0,0,0,1
402,1,3,8,1,8,2,2,51,51,1,1,0,0
403,2,2,2,0,0,0,4,0,56,0,0,0,0
404,2,2,1,0,0,0,3,0,49,0,1,0,0
405,1,3,7,0,0,0,2,0,59,0,1,0,1
406,1,1,3,0,0,0,4,0,26,0,1,0,1
407,1,3,9,1,9,2,2,61,61,1,1,1,1
408,3,1,3,0,0,0,4,0,51,0,0,0,1
409,2,1,2,,,,4,,45,,0,,1
410,1,3,9,1,9,2,2,52,52,1,1,1,1
411,1,2,5,1,5,2,2,55,55,1,1,1,1
412,3,2,9,0,0,0,3,0,51,0,1,0,0
413,1,3,7,0,0,0,2,0,61,0,1,0,1
414,3,2,9,0,0,0,3,0,57,0,1,0,0
415,1,3,9,0,0,0,3,0,54,0,0,0,1
416,3,1,1,,,,2,,44,,0,,1
417,1,3,9,1,9,2,2,54,54,1,1,1,1
418,2,3,6,0,0,0,2,0,55,0,1,0,1
419,1,3,9,1,9,2,2,58,58,1,1,1,1
420,2,3,8,1,8,3,3,62,62,1,1,0,0
421,2,3,6,1,6,2,2,74,74,1,1,1,1
422,1,3,8,1,8,2,2,56,56,1,1,1,1
423,3,2,5,1,5,2,2,55,55,0,0,1,1
