CourseID,InstrID,Year,Required,Eval,Apct,Enrollment
1362,8,201213,0,4.5700002,.74000001,47
1676,8,201213,0,5,1,5
24,8,201213,0,4.4299998,.89999998,10
1264,9,200405,0,4.4699998,.63,19
1420,9,200405,0,4,.62,13
1513,9,200405,0,4.25,.63999999,14
1264,9,200607,0,4.21,.5,22
1264,9,200607,0,4.1100001,.69999999,10
1610,9,200607,0,4.1100001,.60000002,10
1668,9,200607,0,4.5999999,.82999998,6
1264,9,200708,0,4.0599999,,19
1264,9,200708,0,4.21,,11
1534,9,200708,0,3.6400001,,14
1534,9,200708,0,4.4299998,,7
1264,9,200809,0,4.25,.41999999,7
1264,9,200809,0,4.5,.5,13
1534,9,200809,0,4.1799998,.30000001,15
1534,9,200809,0,4.75,.80000001,12
1264,9,200910,0,3.71,.51999998,27
1534,9,200910,0,4.0900002,.38,16
1008,9,201011,1,3.3499999,.23999999,90
1534,9,201011,0,4.2199998,.41,9
1291,9,201112,0,5,.44999999,11
1370,9,201112,0,3.3299999,.33000001,6
1534,9,201112,0,4.1300001,.33000001,3
1534,9,201112,0,4,.60000002,10
1337,9,201213,0,,.75,4
1534,9,201213,0,4.5999999,.86000001,7
1539,9,201213,0,,.5,2
996,10,200304,0,4.3400002,.31,42
1104,10,200304,0,4.9000001,.51999998,23
1364,10,200304,0,5,.63999999,14
1400,10,200304,0,4.6700001,.67000002,12
996,10,200405,0,4.3000002,.14,44
1104,10,200405,0,4.5999999,.61000001,18
1364,10,200405,0,4.9200001,.70999998,14
1400,10,200405,0,5,.88999999,9
996,10,200607,0,3.8499999,.13,48
1104,10,200607,0,4.4400001,.47,19
1363,10,200607,0,4.77,.47,15
1400,10,200607,0,3.8,.73000002,11
996,10,200708,0,4.0300002,,44
1104,10,200708,0,4.77,,13
1363,10,200708,0,4.8600001,,15
1679,10,200708,0,4.5999999,,5
996,10,200809,0,,.28,51
1104,10,200809,0,4.5,.5,27
1363,10,200809,0,,.5,13
1679,10,200809,0,4.5999999,.80000001,10
996,10,200910,0,4.3099999,.31,72
1311,10,200910,0,4.9000001,.69999999,10
1363,10,200910,0,4.8499999,.67000002,15
1679,10,200910,0,4.6300001,.5,8
996,10,201011,0,4.0999999,.18000001,66
1311,10,201011,0,4.5999999,.57999998,12
1363,10,201011,0,4.9299998,.60000002,14
1679,10,201011,0,3.8299999,1,7
996,10,201112,0,4.23,.30000001,80
1311,10,201112,0,4.9000001,.85000002,13
1363,10,201112,0,5,.92000002,12
1679,10,201112,0,,1,1
1008,11,200910,1,4.6900001,.30000001,205
1273,11,200910,0,4.8600001,.56,17
1530,11,200910,0,4.6700001,.33000001,3
1008,11,201011,1,4.79,.33000001,244
1273,11,201011,0,4.8699999,.88,16
1507,11,201011,0,4.8800001,.88,8
1526,11,201011,0,5,.75,4
1008,11,201213,1,4.8299999,.36000001,244
1273,11,201213,0,4.8800001,.69,16
1507,11,201213,0,5,.86000001,7
1526,11,201213,0,5,1,9
893,12,200304,1,4.4499998,.28999999,101
1281,12,200304,0,4.5300002,.64999998,48
1366,12,200304,0,4.46,.68000001,34
38,12,200304,0,4.1199999,.70999998,17
1486,12,200405,0,4.3600001,.88,17
38,12,200405,0,4.1900001,.60000002,20
1239,13,200405,0,4.6399999,.25999999,27
1315,13,200405,0,5,.75,4
1345,13,200405,0,4.4499998,.44999999,11
1317,13,200607,0,4.9200001,.43000001,14
1345,13,200607,0,5,.80000001,10
46,13,200607,1,3.96,.37,89
1339,13,200708,0,4.6300001,,15
1675,13,200708,0,4.6300001,,8
23,13,200708,0,3.96,,12
46,13,200708,1,4.1399999,,81
1133,13,200910,0,4.9200001,.63999999,28
1673,13,200910,0,4.8899999,.40000001,9
23,13,200910,0,4.73,.66000003,15
46,13,200910,1,4.6500001,.30000001,104
1357,14,200304,0,5,.67000002,6
1386,14,200304,0,4.9000001,.5,10
1612,14,200304,0,4.9000001,.91000003,11
46,14,200304,1,4.5599999,.23,99
1239,14,200405,0,4.6399999,.25999999,27
1386,14,200405,0,4.8600001,.5,10
1596,14,200405,0,5,.80000001,5
46,14,200405,1,4.6100001,.19,98
1239,14,200607,0,4.5700002,.47,17
1355,14,200607,0,4.8200002,.38999999,13
1612,14,200607,0,5,.5,4
46,14,200607,1,4.6199999,.33000001,93
1357,14,200708,0,4.8800001,,11
1386,14,200708,0,4.79,,14
1671,14,200708,0,4.8000002,,5
46,14,200708,1,4.4400001,,189
1355,14,200809,0,5,.88,8
1386,14,200809,0,4.9200001,.40000001,15
1671,14,200809,0,5,1,4
46,14,200809,1,4.6999998,.34999999,97
1330,14,200910,0,4.6999998,.41999999,12
1671,14,200910,0,5,1,5
24,14,200910,0,4.5599999,.44999999,11
46,14,200910,1,4.73,.20999999,111
1357,14,201011,0,4.8299999,.82999998,6
1386,14,201011,0,5,1,3
1671,14,201011,0,5,1,3
46,14,201011,1,4.77,.25,97
1379,14,201112,0,5,.75,4
1671,14,201112,0,5,1,3
25,14,201112,0,5,.67000002,3
46,14,201112,1,4.4699998,.23,100
1004,14,201213,1,4.4099998,.38999999,70
1379,14,201213,0,5,1,5
1671,14,201213,0,5,.80000001,5
46,14,201213,1,4.6399999,.34999999,79
893,15,200304,1,4.54,.20999999,117
57,15,200304,0,4.5599999,.61000001,18
58,15,200304,0,4.3800001,.73000002,22
60,15,200304,0,4.8499999,.76999998,13
893,15,200405,1,4.7199998,.25999999,209
57,15,200405,0,4.6999998,.64999998,20
58,15,200405,0,4.6700001,.63999999,22
60,15,200405,0,5,.69999999,10
893,15,200607,1,4.8299999,.28,247
60,15,200607,0,5,.69999999,10
893,15,200708,1,4.8699999,,204
1197,15,200708,0,4.9299998,,12
58,15,200708,0,4.79,,19
60,15,200708,0,4.8600001,,7
1196,16,200910,0,4.8200002,.72000003,11
1630,16,200910,0,4.9200001,.82999998,12
1641,16,200910,0,5,.80000001,5
1246,16,201011,0,4.9099998,1,14
1329,16,201011,0,4.9400001,.61000001,18
1630,16,201011,0,4.9400001,.57999998,12
1641,16,201011,0,5,.79000002,6
1246,16,201112,0,4.9299998,.86000001,14
1329,16,201112,0,4.75,.57999998,36
1630,16,201112,0,4.8899999,.67000002,9
1641,16,201112,0,5,1,2
1501,17,200304,0,4.4000001,.5,10
51,17,200304,0,4,.43000001,21
1008,18,200405,1,4.1300001,.31,186
1180,18,200405,0,4.8000002,.27000001,55
1502,18,200405,0,4,.44,9
1008,18,200607,1,4.1399999,.44999999,105
1180,18,200607,0,4.8800001,.5,18
1263,18,200607,0,4.6700001,.5,16
1502,18,200607,0,4.5,.40000001,10
1008,18,200708,1,4.5500002,,122
1180,18,200708,0,4.48,,23
1262,18,200708,0,4.8600001,,15
1537,18,200708,0,4.1999998,,5
1008,18,200809,1,4.23,.34,143
1180,18,200809,0,4.5900002,.37,49
1262,18,200809,0,4.6999998,.52999997,34
1537,18,200809,0,4.46,.69,13
1008,18,200910,1,4.27,.40000001,113
1180,18,200910,0,4.6300001,.5,26
1262,18,200910,0,5,.77999997,18
1537,18,200910,0,4.4400001,.88999999,9
1180,18,201011,0,4.2399998,.55000001,20
1537,18,201011,0,5,1,4
1008,18,201112,1,3.96,.63999999,145
1180,18,201112,0,4.6700001,.40000001,15
1261,18,201112,0,4.6300001,.62,21
1537,18,201112,0,4.71,.56,9
1008,18,201213,1,4.1999998,.60000002,140
1180,18,201213,0,4.73,.64999998,36
1258,18,201213,0,4.8600001,.73000002,15
1537,18,201213,0,5,1,2
1106,19,200405,0,4.3400002,.38,50
1396,19,200405,1,4.27,.44,16
1398,19,200405,1,4.73,.38,13
1098,20,200910,0,4.5500002,.46000001,28
1510,20,200910,0,5,.56999999,7
1591,20,200910,1,4.8499999,1,15
1098,20,201011,0,4.6700001,.37,35
1200,20,201011,0,4.9200001,.46000001,13
1591,20,201011,1,4.8600001,.87,15
1214,20,201112,0,4.6999998,.63,16
1591,20,201112,1,4.6399999,.86000001,14
1220,21,200708,0,4.3800001,,17
1469,21,200708,0,4.04,,24
1220,21,200809,0,4.8200002,.38999999,13
1469,21,200809,0,4.1300001,.69999999,20
1469,21,200809,0,4.3299999,.83999997,13
1220,21,200910,0,4.5900002,.61000001,18
1476,21,200910,0,4.6399999,1,12
1220,21,201011,0,4.9299998,.56999999,14
1220,21,201011,0,4.8299999,.66000003,18
1256,21,201011,0,4.73,.5,44
1522,21,201011,0,4.8000002,.80000001,15
1209,22,200304,0,4.9200001,.41999999,12
1399,22,200304,0,4.6300001,.63,8
1209,22,200405,0,4.71,.47,15
1301,22,200405,0,5,.5,10
1399,22,200405,0,4.75,.5,8
1209,22,200607,0,4.6900001,.36000001,14
1399,22,200607,0,4.8499999,.56999999,14
1301,22,200708,0,4.5999999,,16
1634,22,200708,0,4.8800001,,9
